,tconst,averageRating,numVotes
856527,tt2245084,7.8,467348
497116,tt1099212,5.3,466675
20376,tt0038650,8.6,466308
698641,tt1535109,7.8,466275
778638,tt1840309,6.6,465426
204226,tt0362227,7.4,465362
447056,tt10048342,8.6,464683
664705,tt1454029,8.1,463487
798609,tt1951265,6.6,461551
190524,tt0327056,7.9,461340
193497,tt0335266,7.7,460221
690235,tt1515091,7.4,460009
220874,tt0398286,7.7,459912
206904,tt0367882,6.2,459414
74166,tt0101414,8.0,458788
66167,tt0092099,6.9,458633
438269,tt0974015,6.1,456977
894537,tt2527338,6.5,456971
924960,tt2980516,7.7,456852
492565,tt10919420,8.0,456609
416142,tt0887912,7.5,455976
752613,tt1723121,7.0,455897
187191,tt0319262,6.4,454270
224585,tt0407304,6.5,453649
683321,tt1499658,6.9,453326
397592,tt0830515,6.6,453199
72211,tt0099088,7.4,452725
698640,tt1535108,6.6,452667
246359,tt0460681,8.4,450487
138679,tt0217505,7.5,447459
826138,tt2103281,7.6,446158
189994,tt0325710,7.8,445976
16086,tt0033467,8.3,445614
879152,tt2379713,6.8,445461
947164,tt3322312,8.6,445392
187095,tt0319061,8.0,444458
223881,tt0405422,7.1,443521
742095,tt1677720,7.4,442590
99773,tt0139654,7.7,442262
951277,tt3385516,6.9,439904
1016221,tt4425200,7.4,439734
210369,tt0375679,7.8,439094
213597,tt0382625,6.6,437963
720679,tt1596363,7.8,437612
659704,tt1442437,8.5,437443
952181,tt3397884,7.6,436698
89950,tt0120616,7.1,435783
380934,tt0780536,7.9,435555
846603,tt2193021,7.5,434015
240566,tt0446029,7.5,432356
86991,tt0117060,7.1,432063
67624,tt0093779,8.0,431062
376309,tt0765429,7.8,430937
89933,tt0120591,6.7,430804
59899,tt0084787,8.2,430449
553767,tt1210166,7.6,429654
722934,tt1605783,7.7,428937
186206,tt0317219,7.2,428717
763434,tt1772341,7.7,428462
67618,tt0093773,7.8,428256
203581,tt0360717,7.2,428249
907793,tt2707408,8.8,427985
215741,tt0387564,7.6,427642
245522,tt0458352,6.9,426670
76036,tt0103639,8.0,426233
936780,tt3170832,8.1,425297
1082837,tt5580390,7.3,425055
575623,tt1259521,7.0,424154
1260340,tt9419884,6.9,423056
89064,tt0119567,6.5,422716
138880,tt0217869,7.3,422167
429823,tt0942385,7.0,422037
62081,tt0087332,7.8,420418
451979,tt1014759,6.4,420168
172362,tt0289043,7.5,419261
397849,tt0831387,6.4,418010
65874,tt0091763,8.1,417954
569657,tt1245492,6.6,417216
557047,tt1217209,7.1,417029
731867,tt1637688,6.7,416729
730454,tt1632701,8.5,416172
77731,tt0105695,8.2,415625
